City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,port blair,11.6667,92.75,82.44,89,20,3.44,IN,1684893788
231,banda aceh,5.5577,95.3222,84.92,73,88,5.23,ID,1684893789
232,niagara falls,43.1001,-79.0663,68.68,73,75,6.91,CA,1684893525
233,severo-yeniseyskiy,60.3725,93.0408,34.23,75,99,12.88,RU,1684893789
234,ust-tsilma,65.441,52.1498,57.4,72,0,4.0,RU,1684893790
235,kandyagash,49.4744,57.4233,61.59,50,5,10.49,KZ,1684893791
236,puerto armuelles,8.2833,-82.8667,82.17,84,100,4.23,PA,1684893791
237,booue,-0.0921,11.9385,73.47,98,70,1.1,GA,1684893792
238,howard springs,-12.497,131.047,82.81,49,28,9.31,AU,1684893793
239,gueret,46.1667,1.8667,53.11,80,100,7.49,FR,1684893794
240,collie,-33.3667,116.15,56.91,58,40,8.46,AU,1684893794
241,iskateley,67.6803,53.1512,59.16,61,19,7.87,RU,1684893795
242,illela,13.7292,5.2975,90.82,38,67,7.96,NG,1684893795
243,ushtobe,45.2514,77.9838,65.14,35,0,9.35,KZ,1684893795
244,shimoda,34.6667,138.95,68.36,61,11,8.05,JP,1684893255
245,palangkaraya,-2.2,113.8333,86.45,65,89,1.01,ID,1684893796
246,araguari,-18.6472,-48.1872,64.69,68,0,5.44,BR,1684893796
247,rongelap,11.1635,166.8941,82.96,73,100,16.24,MH,1684893285
248,colonia,50.9333,6.95,46.94,80,0,2.3,DE,1684893103
249,zheleznodorozhnyy,55.7503,38.0042,59.18,97,100,3.56,RU,1684893797
250,nishifukuma,33.7667,130.4667,73.4,48,70,10.42,JP,1684893797
251,ribeira grande,38.5167,-28.7,62.78,82,92,8.01,PT,1684893771
252,vilyuchinsk,52.9306,158.4028,52.07,91,93,5.86,RU,1684893275
253,mossendjo,-2.9506,12.7261,70.07,99,90,2.55,CG,1684893799
254,port elizabeth,-33.918,25.5701,52.32,75,0,5.75,ZA,1684893241
255,lydenburg,-25.0978,30.4597,47.3,87,2,0.72,ZA,1684893800
256,batken,39.8333,71.0,51.84,55,32,1.39,KG,1684893603
257,mweka,-4.85,21.5667,67.62,97,49,0.43,CD,1684893802
258,haiku-pauwela,20.9219,-156.3051,82.17,60,31,15.99,US,1684893804
259,cabo san lucas,22.8909,-109.9124,91.71,14,40,11.5,MX,1684892972
260,ulladulla,-35.35,150.4667,61.77,38,0,1.16,AU,1684893275
261,rikaze,29.25,88.8833,52.34,37,57,2.82,CN,1684893804
262,chifeng,42.2683,118.9636,77.13,17,100,18.68,CN,1684893625
263,kamyzyak,46.11,48.0736,60.78,94,89,4.47,RU,1684893805
264,bechar,31.6167,-2.2167,64.72,45,20,10.36,DZ,1684893806
265,cabedelo,-6.9811,-34.8339,77.67,84,31,12.1,BR,1684893286
266,nadym,65.5333,72.5167,42.76,53,16,6.4,RU,1684893256
267,skagen,57.7209,10.5839,54.81,88,87,7.0,DK,1684893806
268,popondetta,-8.7537,148.2534,87.91,56,100,2.64,PG,1684893807
269,seme,15.1942,-12.9448,88.56,21,95,10.33,SN,1684893807
270,ar rutbah,33.0381,40.2848,71.8,44,36,9.82,IQ,1684893808
271,khorinsk,52.1657,109.7726,58.15,35,31,11.45,RU,1684893808
272,asaita,11.5636,41.4394,85.15,62,4,5.1,ET,1684893809
273,udachny,66.4167,112.4,37.33,72,93,12.84,RU,1684893285
274,fortaleza,-3.7227,-38.5247,82.53,83,40,9.22,BR,1684893600
275,castillos,-34.1667,-53.8333,67.77,78,100,8.21,UY,1684893811
276,hasaki,35.7333,140.8333,70.29,45,0,12.77,JP,1684893795
277,carnarvon,-24.8667,113.6333,71.15,58,100,4.61,AU,1684892944
278,las khorey,11.1595,48.1967,85.33,75,96,5.08,SO,1684893812
279,walvis bay,-22.9575,14.5053,52.75,100,2,4.61,NA,1684893813
280,choele choel,-39.2667,-65.6833,55.26,29,100,6.91,AR,1684893813
281,san francisco de la paz,14.9,-86.2,91.11,59,71,3.78,HN,1684893814
282,kilindoni,-7.9139,39.6668,79.7,74,86,10.78,TZ,1684893814
283,nakamura,32.9833,132.9333,70.16,45,3,5.61,JP,1684893814
284,lata,40.1629,-8.3327,62.08,80,23,3.98,PT,1684893231
285,kachug,53.9606,105.8817,49.23,72,100,12.55,RU,1684893267
286,codrington,-38.2667,141.9667,60.62,59,11,18.77,AU,1684893236
287,taro,-8.3862,115.28,75.2,59,39,2.19,ID,1684893816
288,port douglas,-16.4833,145.4667,73.87,78,72,19.15,AU,1684893817
289,alofi,-19.0595,-169.9187,80.49,65,75,5.75,NU,1684893817
290,eastham,41.8301,-69.9739,48.22,81,0,3.44,US,1684893818
291,vapnyarka,48.5348,28.7436,57.15,83,100,4.07,UA,1684893818
292,tashtagol,52.7657,87.8894,57.15,52,81,3.8,RU,1684893819
293,norilsk,69.3535,88.2027,33.42,89,74,9.93,RU,1684893819
294,thunder bay,48.4001,-89.3168,51.78,81,100,8.05,CA,1684893188
295,island harbour,50.724,-1.2758,51.93,88,96,3.42,GB,1684893820
296,ancud,-41.8697,-73.8203,49.23,84,100,37.38,CL,1684893636
297,batie,9.8833,-2.9167,80.47,68,94,3.85,BF,1684893820
298,ozalp,38.6548,43.993,46.15,72,76,4.38,TR,1684893820
299,namibe,-15.1961,12.1522,70.54,71,2,7.02,AO,1684893821
300,oyem,1.5995,11.5793,68.2,99,93,1.41,GA,1684893821
301,tralee,52.2704,-9.7026,47.88,96,77,2.33,IE,1684893822
302,highland springs,37.546,-77.3278,64.38,67,100,4.61,US,1684893822
303,acapulco de juarez,16.8634,-99.8901,82.06,73,12,3.36,MX,1684893626
304,buka,40.8108,69.1986,69.33,46,4,2.48,UZ,1684893822
305,catalao,-18.1658,-47.9464,58.46,66,0,4.79,BR,1684893550
306,wesley,15.5667,-61.3167,78.87,83,23,9.08,DM,1684893822
307,mo i rana,66.3128,14.1428,37.33,92,83,1.01,NO,1684893685
308,quellon,-43.1167,-73.6167,50.25,87,100,27.63,CL,1684893257
309,hotan,37.0997,79.9269,74.03,24,100,6.62,CN,1684893823
310,agri,39.6667,43.1667,50.31,61,67,4.81,TR,1684893823
311,kourou,5.1552,-52.6478,75.25,93,100,5.26,GF,1684893823
312,luderitz,-26.6481,15.1594,57.67,63,10,4.83,NA,1684893244
313,inhambane,-23.865,35.3833,67.96,80,22,6.2,MZ,1684893824
314,murzuq,25.9155,13.9184,80.55,15,62,6.93,LY,1684893824
315,vangaindrano,-23.35,47.6,63.97,83,72,6.53,MG,1684893824
316,tsiombe,-25.3,45.4833,60.58,72,5,1.7,MG,1684893824
317,igarka,67.4667,86.5833,34.79,72,87,20.92,RU,1684893283
318,khandyga,62.6667,135.6,51.22,35,90,1.7,RU,1684893824
319,dapa,9.7594,126.0531,84.18,72,100,5.19,PH,1684893825
320,pacific grove,36.6177,-121.9166,59.02,83,40,13.8,US,1684893534
321,sonoita,31.85,-112.8333,83.86,20,0,12.01,MX,1684893825
